iter	Precision	Logloss
0	0.5230532129	0.6879118627
1	0.6532732412	0.6828493782
2	0.5487152829	0.6779172404
3	0.5487006657	0.6731140608
4	0.5723838807	0.668510513
5	0.6024633207	0.6640273741
6	0.6024667781	0.6596548006
7	0.6027462605	0.6554055948
8	0.6024633207	0.6511958065
9	0.6024633207	0.6471502708
10	0.6027425262	0.6432258201
11	0.6027425262	0.6394078633
12	0.6027425262	0.6356886813
13	0.6027425262	0.6320891495
14	0.6027425262	0.6285633312
15	0.6027425262	0.625113145
16	0.6027425262	0.6217115875
17	0.6027425262	0.6184620694
18	0.6027425262	0.6152383543
19	0.6027425262	0.6121021206
20	0.6027425262	0.6091069217
21	0.6027425262	0.6061882858
22	0.6027425262	0.6029441694
23	0.6027425262	0.6001373091
24	0.6027425262	0.5974544729
25	0.6027425262	0.5948433767
26	0.6027425262	0.5922825525
27	0.6027425262	0.5897455345
28	0.6027425262	0.586984961
29	0.6027425262	0.5845860119
30	0.6027425262	0.5823132181
31	0.6027425262	0.5798057692
32	0.6027425262	0.5772892539
33	0.6027425262	0.5752006763
34	0.6027425262	0.57316122
35	0.6027425262	0.5711280469
36	0.6027425262	0.5689545378
37	0.6027425262	0.567083349
38	0.6027425262	0.5648614547
39	0.6027425262	0.5627293112
40	0.6027425262	0.5607281438
41	0.6027425262	0.5590154414
42	0.6027425262	0.5573515574
43	0.7234763424	0.5440918717
44	0.7252195734	0.54235839
45	0.7296632983	0.5406707793
46	0.7214866525	0.5387933663
47	0.7598676215	0.5264579075
48	0.7605180416	0.5247205091
49	0.7617312412	0.5230247125
50	0.7647155752	0.5215331732
51	0.7656190146	0.5199276261
52	0.7656965605	0.5183769215
53	0.7667948181	0.5168723142
54	0.7666398773	0.5154155523
55	0.7853730425	0.5041705696
56	0.7846766105	0.5028272108
57	0.8125112565	0.492238402
58	0.8073136428	0.4909974855
59	0.8073981116	0.4897995149
60	0.8831786354	0.4882992606
61	0.8809967063	0.487280465
62	0.8800431021	0.4863535805
63	0.8975025093	0.4764790879
64	0.9015838781	0.4671857162
65	0.9003763709	0.4667281866
66	0.8996200974	0.4657486866
67	0.8986174542	0.4570779485
68	0.8951773162	0.4488661532
69	0.8916593352	0.4410365467
70	0.8906438568	0.4396819465
71	0.8857685084	0.4322947569
72	0.8838176649	0.42529367
73	0.8802715876	0.4187245952
74	0.878957881	0.412443702
75	0.8763957764	0.4065231988
76	0.8749565189	0.4008733635
77	0.8738605427	0.3955524816
78	0.8711376904	0.3904499911
79	0.8703956344	0.385643607
80	0.8703811212	0.3851267032
81	0.8698881858	0.3805661846
82	0.8695706246	0.3761821897
83	0.8693265092	0.3720024994
84	0.8690690644	0.3680541175
85	0.8688625709	0.3668520092
86	0.8686898184	0.3630733241
87	0.8682531537	0.3594660825
88	0.8681265802	0.3560520112
89	0.8680097652	0.3527619694
90	0.8678981801	0.349614279
91	0.8676646435	0.3465939586
92	0.8675353697	0.3437002689
93	0.8675801155	0.3432860257
94	0.867587769	0.3430337832
95	0.8674909266	0.3402845865
96	0.8674192386	0.3376438968
97	0.8669513186	0.3350930731
98	0.8669959547	0.3340213781
99	0.8670458268	0.3329856013
100	0.866866629	0.3305753582
101	0.8664546194	0.3284840019
102	0.8662990278	0.3264443285
103	0.8662016487	0.3242232806
104	0.8660858816	0.3220863995
105	0.8660024266	0.3217561959
106	0.8657678781	0.3196980199
107	0.8657100272	0.3178547273
108	0.8655848803	0.3169635791
109	0.8654980985	0.3151929939
110	0.8651885442	0.3133267858
111	0.8652247224	0.312899343
112	0.8652065863	0.3124831015
113	0.8651844535	0.3122018187
114	0.8648953966	0.3103990596
115	0.8646820809	0.3086558689
116	0.8644570274	0.3070517755
117	0.8645030046	0.306742145
