iter	Passed	Remaining
0	77	77489
1	169	84586
2	255	85023
3	299	74491
4	340	67722
5	367	60953
6	398	56505
7	423	52561
8	449	49527
9	477	47269
10	503	45271
11	531	43730
12	560	42571
13	589	41537
14	627	41227
15	656	40352
16	687	39771
17	731	39914
18	811	41902
19	869	42581
20	923	43061
21	973	43255
22	1020	43357
23	1068	43446
24	1117	43590
25	1171	43894
26	1224	44139
27	1279	44412
28	1334	44680
29	1390	44966
30	1437	44935
31	1489	45068
32	1540	45127
33	1594	45299
34	1645	45378
35	1697	45450
36	1748	45511
37	1802	45628
38	1866	46001
39	1911	45877
40	1946	45521
41	1974	45037
42	2001	44544
43	2050	44562
44	2077	44096
45	2110	43771
46	2157	43747
47	2205	43734
48	2239	43459
49	2273	43205
50	2313	43047
51	2343	42728
52	2387	42664
53	2416	42340
54	2446	42033
55	2475	41736
56	2504	41431
57	2533	41150
58	2563	40881
59	2593	40625
60	2630	40485
61	2666	40345
62	2698	40133
63	2734	39995
64	2764	39770
65	2807	39736
66	2870	39979
67	2909	39884
68	2938	39642
69	2967	39431
70	2995	39196
71	3025	38992
72	3054	38785
73	3082	38573
74	3113	38395
75	3140	38182
76	3169	37988
77	3196	37782
78	3225	37597
79	3252	37406
80	3283	37248
81	3311	37067
82	3340	36902
83	3369	36740
84	3397	36574
85	3425	36406
86	3455	36259
87	3484	36110
88	3512	35950
89	3541	35804
90	3571	35675
91	3613	35668
92	3643	35534
93	3674	35418
94	3703	35284
95	3752	35340
96	3779	35186
97	3807	35040
98	3833	34888
99	3860	34741
100	3889	34616
101	3916	34480
102	3942	34334
103	3971	34213
104	4019	34258
105	4049	34157
106	4078	34035
107	4106	33917
108	4136	33813
109	4164	33695
110	4195	33600
111	4226	33508
112	4260	33444
113	4292	33364
114	4326	33294
115	4354	33186
116	4417	33342
117	4453	33289
